0
circle_A_rule1
circle_A_rule3
circle_Aprime_test1_ABA
circle_Aprime_test1_ABB
circle_B_rule2
circle_B_rule3
circle_Bprime_test2_ABA
circle_Bprime_test2_ABB
rectangle_A_rule1
rectangle_A_rule3
rectangle_Aprime_test1_ABA
rectangle_Aprime_test1_ABB
rectangle_B_rule2
rectangle_B_rule3
rectangle_Bprime_test2_ABA
rectangle_Bprime_test2_ABB
star_A_rule1
star_A_rule3
star_Aprime_test1_ABA
star_Aprime_test1_ABB
star_B_rule2
star_B_rule3
star_Bprime_test2_ABA
star_Bprime_test2_ABB
triangle_A_rule1
triangle_A_rule3
triangle_Aprime_test1_ABA
triangle_Aprime_test1_ABB
triangle_B_rule2
triangle_B_rule3
triangle_Bprime_test2_ABA
triangle_Bprime_test2_ABB
