2.9543 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0, draggable=False, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=np.float64(0.07), italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1.8)
4.6852 	DATA 	Keypress: space
4.6901 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0, draggable=False, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=np.float64(0.07), italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Waiting for scanner...', units='norm', win=Window(...), wrapWidth=1)
6.3916 	DATA 	Keypress: equal
6.3925 	DATA 	WM trial 0: sample=circle, isi=1.0
8.9771 	DATA 	Keypress: 4
8.9773 	DATA 	WM trial 0 response: key=4, rt=0.5481, correct=1
8.9776 	DATA 	WM trial 1: sample=star, isi=1.0
11.4646 	DATA 	Keypress: 1
11.4647 	DATA 	WM trial 1 response: key=1, rt=0.4631, correct=1
11.4871 	DATA 	WM trial 2: sample=star, isi=1.0
13.9971 	DATA 	Keypress: 2
13.9973 	DATA 	WM trial 2 response: key=2, rt=0.4777, correct=1
13.9974 	DATA 	WM trial 3: sample=triangle, isi=1.0
16.4985 	DATA 	Keypress: 4
16.4989 	DATA 	WM trial 3 response: key=4, rt=0.4769, correct=1
16.4990 	DATA 	WM trial 4: sample=star, isi=1.0
18.9462 	DATA 	Keypress: 1
18.9464 	DATA 	WM trial 4 response: key=1, rt=0.4192, correct=1
18.9465 	DATA 	WM trial 5: sample=triangle, isi=1.0
21.4846 	DATA 	Keypress: 2
21.4848 	DATA 	WM trial 5 response: key=2, rt=0.5109, correct=1
21.4849 	DATA 	WM trial 6: sample=rectangle, isi=1.0
25.5089 	DATA 	No keypress (maxWait exceeded)
25.5090 	WARNING 	WM trial 6 timeout
25.5092 	DATA 	WM trial 7: sample=circle, isi=2.5
29.5425 	DATA 	Keypress: 1
29.5431 	DATA 	WM trial 7 response: key=1, rt=0.5067, correct=1
29.5432 	DATA 	WM trial 8: sample=rectangle, isi=1.0
32.1398 	DATA 	Keypress: 4
32.1400 	DATA 	WM trial 8 response: key=4, rt=0.5728, correct=1
32.1403 	DATA 	WM trial 9: sample=circle, isi=1.0
34.6644 	DATA 	Keypress: 1
34.6645 	DATA 	WM trial 9 response: key=1, rt=0.4995, correct=1
34.6647 	DATA 	WM trial 10: sample=circle, isi=1.0
37.1359 	DATA 	Keypress: 3
37.1360 	DATA 	WM trial 10 response: key=3, rt=0.4505, correct=1
37.1362 	DATA 	WM trial 11: sample=star, isi=2.5
41.2332 	DATA 	Keypress: 1
41.2334 	DATA 	WM trial 11 response: key=1, rt=0.5739, correct=1
41.2336 	DATA 	WM trial 12: sample=circle, isi=2.5
46.7534 	DATA 	No keypress (maxWait exceeded)
46.7534 	WARNING 	WM trial 12 timeout
46.7535 	DATA 	WM trial 13: sample=rectangle, isi=2.5
52.2771 	DATA 	No keypress (maxWait exceeded)
52.2771 	WARNING 	WM trial 13 timeout
52.2773 	DATA 	WM trial 14: sample=rectangle, isi=1.0
56.3021 	DATA 	No keypress (maxWait exceeded)
56.3021 	WARNING 	WM trial 14 timeout
56.3022 	DATA 	WM trial 15: sample=triangle, isi=2.5
61.8265 	DATA 	No keypress (maxWait exceeded)
61.8266 	WARNING 	WM trial 15 timeout
61.8269 	DATA 	WM trial 16: sample=rectangle, isi=2.5
66.3727 	DATA 	Keypress: 4
66.3730 	DATA 	WM trial 16 response: key=4, rt=1.0193, correct=0
66.3732 	DATA 	WM trial 17: sample=triangle, isi=2.5
70.3778 	DATA 	Keypress: 4
70.3780 	DATA 	WM trial 17 response: key=4, rt=0.4818, correct=0
70.3782 	DATA 	WM trial 18: sample=triangle, isi=2.5
73.0061 	DATA 	Keypress: 4
73.6904 	DATA 	Keypress: 4
74.1829 	DATA 	Keypress: 4
74.1833 	DATA 	WM trial 18 response: key=4, rt=0.2817, correct=0
74.1834 	DATA 	WM trial 19: sample=triangle, isi=1.0
74.4358 	DATA 	Keypress: 4
74.7020 	DATA 	Keypress: 4
74.9428 	DATA 	Keypress: 4
75.1616 	DATA 	Keypress: 4
75.3883 	DATA 	Keypress: 4
75.6278 	DATA 	Keypress: 4
75.9107 	DATA 	Keypress: 4
76.1559 	DATA 	Keypress: 4
76.4271 	DATA 	Keypress: 4
76.4273 	DATA 	WM trial 19 response: key=4, rt=0.2177, correct=0
76.4274 	DATA 	WM trial 20: sample=star, isi=2.5
76.6737 	DATA 	Keypress: 4
77.0212 	DATA 	Keypress: 4
77.2901 	DATA 	Keypress: 4
77.6546 	DATA 	Keypress: 4
77.9567 	DATA 	Keypress: 4
78.2761 	DATA 	Keypress: 4
78.5956 	DATA 	Keypress: 4
78.8908 	DATA 	Keypress: 4
79.1610 	DATA 	Keypress: 4
79.3929 	DATA 	Keypress: 4
79.5606 	DATA 	Keypress: 4
79.7295 	DATA 	Keypress: 4
79.8898 	DATA 	Keypress: 4
80.0610 	DATA 	Keypress: 4
80.0614 	DATA 	WM trial 20 response: key=4, rt=0.1044, correct=1
