block,sid,trial,sample_stim,isi_condition,rule_type,A_stim,B_stim,A_prime,B_prime,rule_sequence,test_sequence,correct_next_stim,slot_mapping,correct_stim,response_key,response_slot,response_stim,correct,rt,isi1,isi2,isi3,isi4,isi5,iti,t_fixation,t_sample,t_delay,t_rule1,t_rule2,t_rule3,t_test1,t_test2,t_response
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,20,star,2.5,,,,,,,,,"rectangle,circle,triangle,star",star,4,4,star,1,0.10440270003164187,,,,,,,76.43038870004239,76.93744320003316,77.44560300000012,,,,,,79.95650550001301
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,21,rectangle,2.5,,,,,,,,,"circle,star,triangle,rectangle",rectangle,4,4,rectangle,1,0.1846837000339292,,,,,,,80.06420429999707,80.57042860001093,81.07634850003524,,,,,,83.58868280000752
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,22,star,2.5,,,,,,,,,"circle,star,rectangle,triangle",star,4,4,triangle,0,0.0316781000001356,,,,,,,83.77732630004175,84.28252350003459,84.7870879000402,,,,,,87.29905160004273
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,23,circle,2.5,,,,,,,,,"star,rectangle,circle,triangle",circle,4,4,triangle,0,0.07928330003051087,,,,,,,87.33592370001134,87.84254179999698,88.34886080003344,,,,,,90.85790970001835
main_run1,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,0,,,ABA,triangle,rectangle,rectangle,star,"triangle,rectangle,triangle","rectangle,star",rectangle,"triangle,star,rectangle,circle",rectangle,3,3,rectangle,1,0.5697701000026427,0.9445906436984665,1.107657248443319,1.1154763264483902,0.6651262152699697,0.9351050804843811,0.9667640115963114,93.32075400004396,,,93.82767240004614,95.28353509999579,96.90199450001819,98.53091690002475,99.70613350003259,101.15792319999309
main_run1,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,1,,,ABB,circle,triangle,circle,triangle,"circle,triangle,triangle","circle,triangle",triangle,"rectangle,circle,triangle,star",triangle,2,2,circle,0,1.8202798999845982,1.071352237818342,0.913937074948475,0.9124477476892148,1.0506786195935969,1.3222188573844906,5.471071146228031,102.70412579999538,,,103.21027330000652,104.7929623000091,106.21650570002384,107.64021750004031,109.20678250002675,111.04949940001825
main_run1,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,2,,,ABA,rectangle,circle,triangle,star,"rectangle,circle,rectangle","triangle,star",triangle,"rectangle,circle,triangle,star",triangle,3,3,triangle,1,0.49971870001172647,1.2696301377796864,1.0606889284708068,0.9021277522112827,0.2601147547621081,1.0816820967283995,1.6706954819794337,118.35009510000236,,,118.85515090002446,120.63632079999661,122.21236400003545,123.62657680001575,124.4023725000443,126.00326910003787
main_run1,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,3,,,ABA,circle,triangle,rectangle,triangle,"circle,triangle,circle","rectangle,triangle",rectangle,"star,circle,triangle,rectangle",rectangle,4,4,rectangle,1,0.5141771999769844,1.060164524882684,0.7384064114478732,1.1052147183523977,0.7066516052512029,1.141439743464161,3.613259695601123,128.18306280003162,,,128.6889680000022,130.26483629998984,131.51462980004726,133.13316450000275,134.34943070000736,136.01238980004564
main_run1,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,4,,,ABB,star,rectangle,triangle,star,"star,rectangle,rectangle","triangle,star",star,"star,circle,rectangle,triangle",star,1,1,star,1,0.3915737000061199,0.7875780706602884,0.826769998635408,0.8901978860721577,1.238448456339766,0.8816464468062662,3.5606025926410605,140.14831560000312,,,140.65412310004467,141.95572319999337,143.2954639000236,144.69976300001144,146.44886060000863,147.84632110001985
main_run1,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,5,,,ABB,star,rectangle,rectangle,star,"star,rectangle,rectangle","rectangle,star",star,"circle,rectangle,triangle,star",star,4,4,star,1,0.39759970002342016,1.0037480897984856,1.2321514387377315,0.9420638645804896,1.1540419908420907,0.7693866479186839,3.5270925285989945,151.8145996000385,,,152.32081629999448,153.83682710002176,155.58147269999608,157.03698289999738,158.70393580000382,159.99173440004233
main_run1,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,6,,,ABB,star,circle,star,triangle,"star,circle,circle","star,triangle",triangle,"triangle,circle,star,rectangle",triangle,1,1,triangle,1,0.43729559995699674,0.9232343965590571,0.9282929955766777,0.9214421097480499,1.291170153237328,0.6222056823718907,4.128653519558006,163.9269193999935,,,164.43058949999977,165.8649198000203,167.30487270001322,168.73969300003955,170.5473808000097,171.6866030000383
main_run1,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,7,,,ABA,rectangle,circle,circle,star,"rectangle,circle,rectangle","circle,star",circle,"star,rectangle,circle,triangle",circle,3,3,circle,1,0.4754302999936044,1.3555838467745165,0.8692511801643662,1.159675802769236,1.1428992858243017,1.0519483663251563,2.2573363940676656,176.26601170003414,,,176.77222660003463,178.64337490004255,180.0233943000203,181.6932719000033,183.35033360001398,184.9188184000086
main_run1,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,8,,,ABB,rectangle,star,rectangle,triangle,"rectangle,star,star","rectangle,triangle",triangle,"rectangle,circle,triangle,star",triangle,1,1,rectangle,0,1.3033554999856278,1.1389744167018914,0.6907902512830444,0.8730748816201837,0.7100607906349155,0.6427416316983816,1.4214464041799,187.66076460003387,,,188.16543280001497,189.81807750003645,191.0195767999976,192.40729850000935,193.6323406000156,194.79117350000888
main_run1,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,9,,,ABB,rectangle,triangle,triangle,rectangle,"rectangle,triangle,triangle","triangle,rectangle",rectangle,"star,triangle,rectangle,circle",rectangle,1,1,star,0,0.43550390005111694,1.2175125369440014,0.9707143669753528,0.6679212009418268,0.9819110725439771,1.043212837608184,2.008635108907977,197.52667180000572,,,198.0319742000429,199.76274520001607,201.2471397999907,202.4292265000404,203.9213221000391,205.48273230000632
main_run1,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,10,,,ABB,circle,star,circle,rectangle,"circle,star,star","circle,rectangle",rectangle,"rectangle,circle,triangle,star",rectangle,,,,0,,0.9584045980504605,0.8412460065928787,0.717933584760527,1.1343142959284205,0.9711377405922925,4.237226489757239,207.93493980000494,,,208.44255400000839,209.91481600003317,211.26785820000805,212.4991435999982,214.14578409999376,215.63248760002898
main_run1,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,11,,,ABA,triangle,star,star,triangle,"triangle,star,triangle","star,triangle",star,"star,triangle,circle,rectangle",star,1,1,star,1,0.31238140002824366,1.3368930125267589,0.9839564223202829,1.3347617625655916,1.0760590605110156,1.3852686862273311,2.3233568989535054,221.881196500035,,,222.38814930000808,224.2377646000241,225.73472770000808,227.58275450003566,229.1712375000352,231.0720568000106
main_run1,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,12,,,ABB,rectangle,star,star,triangle,"rectangle,star,star","star,triangle",triangle,"circle,rectangle,star,triangle",triangle,1,1,circle,0,0.9061347999959253,1.0124476240319695,1.3391855976933946,1.025351849217776,1.050002202569206,1.1818246317902883,1.5662435628140277,233.71756940003252,,,234.22268970002187,235.74884549999842,237.6001760000363,239.13727540004766,240.70085220003966,242.39779760001693
