block,sid,trial,rule_type,A_stim,B_stim,rule_sequence,test_type,X_stim,Y_stim,test_sequence,match,mismatch_type,response_key,correct,rt,isi1,isi2,isi3,isi4,isi5,iti,t_fixation,t_rule1,t_rule2,t_rule3,t_test1,t_test2,t_test3,t_response
run1,001,17,ABA,circle,rectangle,"circle,rectangle,circle",other,circle,star,"circle,star,rectangle",0,random,2,1,0.23533897999914188,1.1966748730580696,0.7404464134510081,1.5,0.8157487441319801,1.0176243932740094,2.0,273.1330731003545,273.6369969001971,275.34257280034944,276.59499220037833,278.6076131002046,279.9350968003273,281.4665090003982,281.9709370001219
run1,001,18,ABA,star,triangle,"star,triangle,star",ABB,star,triangle,"star,triangle,triangle",0,rule_order,2,1,0.4290897849996327,1.2660776334550021,0.88280712807146,1.5,1.0477402768490607,1.3123775557191195,2.0,287.22778230020776,287.7309286003001,289.51183510012925,290.90723850019276,292.92046410031617,294.4799574003555,296.30728810001165,296.81117230001837
run1,001,19,ABA,circle,triangle,"circle,triangle,circle",ABB,triangle,rectangle,"triangle,rectangle,rectangle",0,rule_order,2,1,0.854697060000035,1.0516398571921386,1.288394611476642,1.5,1.3805579213232377,0.910612103388291,2.0,302.2600078000687,302.76396140037104,304.32235920010135,306.1224250001833,308.1384515003301,310.0313372001983,311.45339740021154,311.9581555002369
run1,001,20,ABA,star,triangle,"star,triangle,star",other,triangle,star,"triangle,star,circle",0,random,2,1,0.21609883999917656,1.1825153621597013,0.8684636525449114,1.5,1.313835174524833,1.0256982493075024,2.0,317.83349630003795,318.33855550037697,320.0298820999451,321.4060927000828,323.41981049999595,325.2428747001104,326.77708500018343,327.2862619999796
run1,001,21,ABB,star,rectangle,"star,rectangle,rectangle",ABA,circle,triangle,"circle,triangle,circle",0,rule_order,2,1,0.5896692499991332,0.8931973672851032,0.8667153068902105,1.5,1.246650565092206,1.0443666283512967,2.0,332.52157980017364,333.0294459001161,334.4313087002374,335.8130876002833,337.82067409995943,339.58167910017073,341.1378006003797,341.6418008003384
run1,001,22,ABB,rectangle,triangle,"rectangle,triangle,triangle",ABB,rectangle,circle,"rectangle,circle,circle",1,,1,1,0.6029818200004229,1.2146513513510373,1.3136050978498175,1.5,0.8026565890040736,0.9065007874378359,2.0,347.2585443002172,347.7618563999422,349.4867722000927,351.3111853003502,353.32610400021076,354.6399511001073,356.0559026999399,356.5604135002941
run1,001,23,ABA,rectangle,circle,"rectangle,circle,rectangle",ABB,star,rectangle,"star,rectangle,rectangle",0,rule_order,2,1,0.4933335249997981,1.113190563864706,1.1831481058835076,1.5,0.5,1.0004193205449108,2.0,362.18691259995103,362.6910860002972,364.3194759003818,366.0132404002361,368.0246429000981,369.0333020002581,370.5406468999572,371.04508269997314
run1,001,24,ABB,triangle,star,"triangle,star,star",ABB,rectangle,star,"rectangle,star,star",1,,1,1,0.5665937599997051,0.5917092961356434,0.9418675819161771,1.5,0.9012173925336652,0.8781183724655901,2.0,376.55818670010194,377.06153800012544,378.1651854002848,379.61368840001523,381.62626220006496,383.0374617003836,384.4265845003538,384.93507200013846
run1,001,25,ABA,circle,triangle,"circle,triangle,circle",ABB,star,triangle,"star,triangle,triangle",0,rule_order,2,1,0.4399226200002886,1.1071742281218948,1.016473533831412,1.5,1.3003216088098566,0.8721955284776743,2.0,390.5162027999759,391.02137490035966,392.64032940007746,394.1724665001966,396.1916229003109,398.0025639999658,399.38547760015354,399.89500429993495
run1,001,26,ABA,triangle,circle,"triangle,circle,triangle",other,triangle,rectangle,"triangle,rectangle,circle",0,random,2,1,0.12181023499942967,1.0978973682622937,0.503949924351071,1.5,0.9918252871415539,0.7248157168072504,2.0,405.35250680008903,405.8565024002455,407.4640951002948,408.4815001003444,410.5020900000818,412.00491730030626,413.2410194003023,413.74532840028405
