block,sid,trial,rule_type,A_stim,B_stim,rule_sequence,test_type,X_stim,Y_stim,test_sequence,match,mismatch_type,response_key,correct,rt,isi1,isi2,isi3,isi4,isi5,iti,t_fixation,t_rule1,t_rule2,t_rule3,t_test1,t_test2,t_test3,t_response
run3,001,72,ABB,triangle,circle,"triangle,circle,circle",ABA,rectangle,circle,"rectangle,circle,rectangle",0,rule_order,2,1,0.3274698299992451,0.915080282355146,0.9122985469646229,1.5,1.063002884934779,1.1059292357748844,2.0,1111.8769757002592,1112.3805320002139,1113.804325800389,1115.224373199977,1117.2341626002453,1118.8092748001218,1120.4243612000719,1120.9341744999401
run3,001,73,ABB,rectangle,circle,"rectangle,circle,circle",ABB,triangle,rectangle,"triangle,rectangle,rectangle",1,,1,1,0.28929301999960444,1.079087668670095,1.1649999366857704,1.5,0.8995815531408962,1.1310894010091057,2.0,1126.2787775001489,1126.7829693001695,1128.3739133002236,1130.051598700229,1132.0667175003327,1133.4802117003128,1135.127361100167,1135.6314288000576
run3,001,74,ABA,star,rectangle,"star,rectangle,star",ABA,star,triangle,"star,triangle,star",1,,1,1,0.22625146999962453,1.0163597864956122,0.9926081518408555,1.5,1.3844588743232624,1.1437446156388886,2.0,1140.9360250001773,1141.4399713003077,1142.9657519003376,1144.4677325999364,1146.48099500034,1148.3811576003209,1150.0345209999941,1150.5434356001206
run3,001,75,ABA,circle,rectangle,"circle,rectangle,circle",other,rectangle,triangle,"rectangle,triangle,circle",0,random,2,1,0.2880884199994398,0.9984171146457196,0.7804630305641294,1.5,1.0035707412483494,0.9106487349151892,2.0,1155.7853079000488,1156.2891644001938,1157.799007399939,1159.0904195001349,1161.10418390017,1162.615208200179,1164.0423032003455,1164.5468366001733
run3,001,76,ABB,star,circle,"star,circle,circle",ABB,circle,star,"circle,star,star",1,,1,1,0.2404705199996897,1.1372737117526348,0.9810883537838208,1.5,1.0773999417037472,1.140235735643109,2.0,1169.8655977002345,1170.369507000316,1172.0183630003594,1173.5087439999916,1175.5180232999846,1177.1090868003666,1178.760291500017,1179.2646833001636
run3,001,77,ABA,rectangle,circle,"rectangle,circle,rectangle",ABA,circle,triangle,"circle,triangle,circle",1,,1,1,0.41659516999970947,0.9300139583556962,0.9524206702428686,1.5,1.0709708685256278,1.1568078876839192,2.0,1184.529456899967,1185.0326796001755,1186.4706312003545,1187.9308424000628,1189.9401556001976,1191.521668100264,1193.185143200215,1193.6901249000803
run3,001,78,ABA,triangle,rectangle,"triangle,rectangle,triangle",ABB,star,circle,"star,circle,circle",0,rule_order,2,1,0.4119703299993489,1.1439918151856143,0.9948003289292668,1.5,1.2454204422712456,0.8835925438176472,2.0,1199.12542950036,1199.6326314001344,1201.293528900016,1202.7972213001922,1204.8083441001363,1206.5613896003924,1207.9539638003334,1208.4633075003512
run3,001,79,ABA,rectangle,triangle,"rectangle,triangle,rectangle",other,circle,star,"circle,star,rectangle",0,random,2,1,0.24073514499923476,1.0801755572767882,0.8618797249100815,1.5,0.5283711440679463,1.0013203923305682,2.0,1213.8956154002808,1214.3995981002226,1215.9996168003418,1217.36957610026,1219.380747999996,1220.4164472999983,1221.929171900265,1222.433042400051
run3,001,80,ABB,triangle,star,"triangle,star,star",ABA,triangle,star,"triangle,star,triangle",0,rule_order,2,1,0.517016254999362,1.0497573969578018,1.0691520018505356,1.5,1.231080350604391,0.7974699057879414,2.0,1227.6985849002376,1228.2023550001904,1229.7594361002557,1231.3425940000452,1233.3496902002953,1235.089062700048,1236.3968755002134,1236.9010034003295
run3,001,81,ABB,star,triangle,"star,triangle,triangle",ABA,triangle,star,"triangle,star,triangle",0,rule_order,2,1,0.6135349699998187,1.1219257782212195,1.0372108102530837,1.5,1.0057736209155836,1.0270433051352466,2.0,1242.4385350001976,1242.9464897001162,1244.575613300316,1246.1250555003062,1248.1370403002948,1249.6537506002933,1251.191143900156,1251.6957680000924
run3,001,82,ABA,triangle,rectangle,"triangle,rectangle,triangle",ABB,star,circle,"star,circle,circle",0,rule_order,2,1,0.2578692150000279,1.0552913434215472,0.8303557626666704,1.5,1.0568846799104323,0.6729525128453484,2.0,1257.3312136000022,1257.8358885003254,1259.4025174002163,1260.7484822999686,1262.7684337999672,1264.3349386001937,1265.5185450003482,1266.0272809001617
run3,001,83,ABB,rectangle,triangle,"rectangle,triangle,triangle",ABA,rectangle,circle,"rectangle,circle,rectangle",0,rule_order,2,1,0.3801735249999183,1.105446775759102,1.0501921318979202,1.5,1.3520382544792515,0.8069788849046957,2.0,1271.302284100093,1271.805429500062,1273.4173173001036,1274.9777867002413,1276.9857629002072,1278.8443495002575,1280.1618921002373,1280.6709946002811
run3,001,84,ABB,rectangle,circle,"rectangle,circle,circle",ABA,rectangle,star,"rectangle,star,rectangle",0,rule_order,2,1,0.30063752999922144,0.9131398916472048,0.6472489533918708,1.5,1.0837300245534511,1.150213148181338,2.0,1286.0700853001326,1286.574058700353,1287.9979785000905,1289.1549211000092,1291.1632356001064,1292.7593464003876,1294.4168054000475,1294.921394099947
run3,001,85,ABB,circle,star,"circle,star,star",ABB,circle,triangle,"circle,triangle,triangle",1,,1,1,0.8230747950001387,0.8946951330795921,1.0584569823619614,1.5,0.7744852348480924,0.8064657406829636,2.0,1300.245120699983,1300.7539547001943,1302.163263299968,1303.7366866003722,1305.7457441003062,1307.0319191003218,1308.3501166002825,1308.854899500031
run3,001,86,ABA,circle,star,"circle,star,circle",ABA,rectangle,triangle,"rectangle,triangle,rectangle",1,,1,1,0.15607118499974604,1.058949484939329,0.9627383812446388,1.5,0.9871007349652595,0.8986844347373361,2.0,1314.698171300348,1315.2019885000773,1316.7721739001572,1318.2442598999478,1320.2623238000087,1321.757530100178,1323.1647522002459,1323.6689631002955
run3,001,87,ABA,rectangle,star,"rectangle,star,rectangle",other,star,circle,"star,circle,rectangle",0,random,2,1,0.19311029499931465,1.009268892649023,0.6993112150445235,1.5,0.9865166868549813,0.9232933084532374,2.0,1328.8482348001562,1329.3528059003875,1330.878278200049,1332.0904229003936,1334.1009490001015,1335.5985628003255,1337.0298620001413,1337.534314500168
run3,001,88,ABA,triangle,circle,"triangle,circle,triangle",ABB,triangle,star,"triangle,star,star",0,rule_order,2,1,0.28097645999969245,0.9251591927463811,1.1943237890759946,1.5,1.0672504956600188,1.3244653996367,2.0,1342.749611900188,1343.2531757000834,1344.6874184999615,1346.391431500204,1348.3999542002566,1349.979471700266,1351.81863170024,1352.3224953003228
run3,001,89,ABB,circle,star,"circle,star,star",ABB,circle,rectangle,"circle,rectangle,rectangle",1,,1,1,1.7498140300003797,0.8025485864438185,1.1683215458755702,1.5,0.8235046970253365,0.9354883586092053,2.0,1357.631393100135,1358.1349429003894,1359.4501368002966,1361.1326013002545,1363.140765200369,1364.4726686002687,1365.9219935000874,1366.4304756000638
run4,001,90,ABA,rectangle,circle,"rectangle,circle,rectangle",ABA,triangle,star,"triangle,star,triangle",1,,1,1,0.7136669599995002,0.7691747757181525,0.8619090010195058,1.5,0.9023171759062273,1.2583997744628936,2.0,1405.9794531003572,1406.4841349003837,1407.7600413002074,1409.1327512003481,1411.1517477999441,1412.5697409003042,1414.3391908002086,1414.8438286003657
run4,001,91,ABB,triangle,rectangle,"triangle,rectangle,rectangle",ABB,circle,rectangle,"circle,rectangle,rectangle",1,,1,1,0.3598765500000809,1.0334976518936325,0.9394845186025828,1.5,0.9511297516362669,0.7077516476869269,2.0,1420.5783931002952,1421.0840337001719,1422.6277326000854,1424.0780623001046,1426.089792100247,1427.5527061000466,1428.7715545999818,1429.2755076000467
run4,001,92,ABA,rectangle,triangle,"rectangle,triangle,rectangle",ABA,star,triangle,"star,triangle,star",1,,1,1,0.09936054499939928,1.4412034260778823,0.6428036765072731,1.5,1.1446489137530715,1.1093766931851405,2.0,1434.6594238001853,1435.1636691000313,1437.111349800136,1438.262948800344,1440.2707425002009,1441.9289431003854,1443.5537447002716,1444.0587892001495
run4,001,93,ABB,triangle,rectangle,"triangle,rectangle,rectangle",ABB,rectangle,triangle,"rectangle,triangle,triangle",1,,1,1,0.2470052599992414,1.1660513481616648,0.8990682281005639,1.5,0.773572916613197,1.4186044050490825,2.0,1449.1870682002045,1449.6907323002815,1451.3671830999665,1452.7736047003418,1454.7867042999715,1456.0699265003204,1458.0028216000646,1458.5070457002148
run4,001,94,ABB,star,triangle,"star,triangle,triangle",ABB,circle,rectangle,"circle,rectangle,rectangle",1,,1,1,0.45144824999897537,0.7613807346619826,0.9863149537135759,1.5,0.8265820010110224,0.8541347628821914,2.0,1463.7759487000294,1464.279695900157,1465.5508151999675,1467.0496170003898,1469.0603237003088,1470.403779400047,1471.7672252003103,1472.271171099972
run4,001,95,ABA,rectangle,circle,"rectangle,circle,rectangle",other,star,rectangle,"star,rectangle,circle",0,random,2,1,0.56998583999939,1.0311372734090347,0.7303693408430957,1.5,0.8533141856219726,0.8919180563119833,2.0,1477.745812300127,1478.2547708000056,1479.7985956999473,1481.044942600187,1483.054975300096,1484.416562099941,1485.8154247002676,1486.3195077003911
run4,001,96,ABB,circle,rectangle,"circle,rectangle,rectangle",ABA,star,triangle,"star,triangle,star",0,rule_order,2,1,0.1941618800001379,0.9649340513022824,0.9430001881392395,1.5,0.8547326705152793,1.1161753427505257,2.0,1491.905105800368,1492.4086178001016,1493.8831387003884,1495.3373449002393,1497.3549219002016,1498.7285081003793,1500.3541027000174,1500.8587088999338
run4,001,97,ABA,star,circle,"star,circle,star",ABA,triangle,star,"triangle,star,triangle",1,,1,1,0.27143471499948646,0.984646252802354,0.750279554004607,1.5,0.8634079111189344,1.1455686657093693,2.0,1506.0719053000212,1506.575732700061,1508.0739933000877,1509.3406115001999,1511.3480297001079,1512.7204595999792,1514.377204700373,1514.8859325000085
run4,001,98,ABB,rectangle,triangle,"rectangle,triangle,triangle",other,star,triangle,"star,triangle,rectangle",0,random,2,1,0.2668725399998948,0.8839117012931171,1.0537198806018384,1.5,1.0712319601904214,1.053820016345121,2.0,1520.1789683001116,1520.6874995003454,1522.077999799978,1523.6444652001373,1525.654437799938,1527.2347985003144,1528.797109800391,1529.301736399997
run4,001,99,ABB,circle,rectangle,"circle,rectangle,rectangle",ABB,triangle,circle,"triangle,circle,circle",1,,1,1,0.34983692500009056,1.251740556763161,0.8511346288069277,1.5,0.9380275387867475,1.0302805490844669,2.0,1534.5948278000578,1535.0993301002309,1536.8618580000475,1538.228915899992,1540.2405050001107,1541.6955351000652,1543.2372797001153,1543.7470383001491
run4,001,100,ABA,circle,triangle,"circle,triangle,circle",ABA,triangle,star,"triangle,star,triangle",1,,1,1,0.4147286299994448,1.129399696255273,0.8242185560486959,1.5,0.9352218565753266,1.4308875166362005,2.0,1549.1088791000657,1549.6124680000357,1551.250690500252,1552.5845155999996,1554.5962725002319,1556.0433597001247,1557.9859627000988,1558.4900305001065
run4,001,101,ABB,circle,rectangle,"circle,rectangle,rectangle",other,triangle,rectangle,"triangle,rectangle,star",0,random,2,1,0.4165156899989597,1.321642942116217,0.8547087484226168,1.5,0.7723481109713354,0.6141510215855086,2.0,1563.9239802001975,1564.4280541003682,1566.263405899983,1567.637768900022,1569.6571864001453,1570.9368859003298,1572.0638212002814,1572.5722496001981
run4,001,102,ABB,triangle,circle,"triangle,circle,circle",ABB,star,circle,"star,circle,circle",1,,1,1,0.5971646899997722,0.7047807467632492,1.0833832586208647,1.5,0.7566562724860617,0.79946523363285,2.0,1578.006738900207,1578.510773499962,1579.723927500192,1581.3149959002621,1583.3285991000012,1584.5958865000866,1585.906680600252,1586.4112554001622
run4,001,103,ABB,circle,star,"circle,star,star",ABA,star,triangle,"star,triangle,star",0,rule_order,2,1,0.36545579500034364,1.2102590405250802,0.8309423535416982,1.5,0.9885766458312709,1.1712441600735786,2.0,1592.0255373003893,1592.5292690000497,1594.25135770021,1595.5996763999574,1597.6136164003983,1599.1123238001019,1600.7954212999903,1601.2995363003574
run4,001,104,ABA,star,circle,"star,circle,star",other,star,circle,"star,circle,triangle",0,random,2,1,0.3455206699991322,1.2387959031595253,1.103944139893311,1.5,0.9238026127170819,0.7839892808532904,2.0,1606.6918819001876,1607.1950035002083,1608.9491576999426,1610.5648671002127,1612.5762523002923,1614.0086574000306,1615.300959400367,1615.8052493999712
run4,001,105,ABB,star,triangle,"star,triangle,triangle",other,rectangle,circle,"rectangle,circle,triangle",0,random,2,1,0.33974809999926947,1.4189666574385291,0.574600640051848,1.5,1.275556072515714,1.2002878903256304,2.0,1621.1712669003755,1621.674697900191,1623.6050081001595,1624.688653500285,1626.6954423002899,1628.4818188003264,1630.1897086002864,1630.6939264000393
run4,001,106,ABB,circle,triangle,"circle,triangle,triangle",ABB,triangle,rectangle,"triangle,rectangle,rectangle",1,,1,1,0.9048748949999208,1.1194627403331057,1.041970408347395,1.5,1.0929559514191383,0.6799935397670287,2.0,1636.0595253999345,1636.5629090000875,1638.1954338001087,1639.7447858001105,1641.7585575999692,1643.3663616003469,1644.5596320000477,1645.0634896000847
run4,001,107,ABA,circle,star,"circle,star,circle",ABA,rectangle,circle,"rectangle,circle,rectangle",1,,1,1,0.3042850100000578,1.0135611344119049,0.8909497691967341,1.5,1.2325638492700992,1.0906875069113375,2.0,1650.9884141003713,1651.4924185001291,1653.0170240001753,1654.425433000084,1656.4353519002907,1658.1788701000623,1659.7820844003,1660.285953800194
run4,001,108,ABB,star,rectangle,"star,rectangle,rectangle",ABB,star,circle,"star,circle,circle",1,,2,0,0.7704623699992226,0.7338149529596958,1.124049444944715,1.5,0.8880426798615557,1.212053649036053,2.0,1665.6095730001107,1666.1140262000263,1667.359104000032,1668.9959032000042,1671.0033976002596,1672.4001158000901,1674.124078300316,1674.6326966001652
run4,001,109,ABB,triangle,rectangle,"triangle,rectangle,rectangle",ABB,triangle,rectangle,"triangle,rectangle,rectangle",1,,1,1,0.8087002749989551,0.7141700070568933,0.9669095227959197,1.5,0.9617086156459274,0.6386537201470984,2.0,1680.4250589003786,1680.9293434000574,1682.150741000194,1683.6295821000822,1685.641054100357,1687.1212651003152,1688.2709199003875,1688.775105000008
run4,001,110,ABA,star,triangle,"star,triangle,star",ABA,rectangle,star,"rectangle,star,rectangle",1,,1,1,0.5025039449992619,1.0243117998573166,0.975771935295333,1.5,1.0384255198543002,0.9180143769278258,2.0,1694.603072900325,1695.1062866002321,1696.6386017999612,1698.1252627000213,1700.1414805003442,1701.6938968002796,1703.1230971002951,1703.6274341000244
run4,001,111,ABB,triangle,star,"triangle,star,star",ABA,star,circle,"star,circle,star",0,rule_order,2,1,0.5664809799991417,1.0378197051725275,1.0511052441098954,1.5,1.083077563252616,1.0459495938416774,2.0,1709.1538663003594,1709.6575536001474,1711.204991900362,1712.7687326003797,1714.7760656001046,1716.3705771001987,1717.923723900225,1718.4281995003112
run4,001,112,ABA,star,rectangle,"star,rectangle,star",ABA,rectangle,triangle,"rectangle,triangle,rectangle",1,,1,1,0.19566857499921753,1.0829747766606657,0.6941230463281187,1.5,0.8561752869479015,1.1832706394987156,2.0,1724.0091375000775,1724.5131260002963,1726.1067208000459,1727.3143295003101,1729.3258636002429,1730.7006874000654,1732.396509299986,1732.9003424001858
run4,001,113,ABB,star,circle,"star,circle,circle",other,circle,star,"circle,star,rectangle",0,random,2,1,0.28897926499939786,0.8267777108886647,0.8098638789547793,1.5,0.9008422265346774,0.78111138606751,2.0,1738.128053800203,1738.6318399002776,1739.9752678000368,1741.3013977003284,1743.311801300384,1744.7228040001355,1746.022411300335,1746.5311561003327
run4,001,114,ABA,triangle,rectangle,"triangle,rectangle,triangle",ABB,star,triangle,"star,triangle,triangle",0,rule_order,2,1,0.3270054149998032,0.9519706352460461,0.7959279180749689,1.5,0.7603104733982753,0.5335165065456127,2.0,1751.8389830002561,1752.3425907003693,1753.811097100377,1755.116703200154,1757.1316905999556,1758.4016985003836,1759.4431332000531,1759.9470816999674
run4,001,115,ABB,star,triangle,"star,triangle,triangle",ABB,circle,rectangle,"circle,rectangle,rectangle",1,,1,1,0.6255456549997689,1.5945845664021656,1.2306878624350328,1.5,1.0736086970027277,0.9397180066199295,2.0,1765.3023125999607,1765.8055381001905,1767.9178142002784,1769.6608494003303,1771.682529200334,1773.275874900166,1774.7275588000193,1775.2315825000405
run4,001,116,ABB,rectangle,circle,"rectangle,circle,circle",ABB,star,circle,"star,circle,circle",1,,1,1,0.8540910749989052,1.1595669217456532,0.8339898958710974,1.5,1.1534140711880245,0.8350526385648811,2.0,1780.8797866003588,1781.383062100038,1783.0527612003498,1784.396140200086,1786.4114457000978,1788.0807694001123,1789.4284866000526,1789.9328469000757
run4,001,117,ABA,circle,star,"circle,star,circle",other,rectangle,circle,"rectangle,circle,triangle",0,random,2,1,0.3246780299996317,0.8700209743745627,1.2463103025400395,1.5,0.8259442698252968,1.1887229116824676,2.0,1795.8040825999342,1796.3074389002286,1797.6980767999776,1799.4570545000024,1801.4675068003125,1802.8042316003703,1804.5051357001066,1805.0090487999842
run4,001,118,ABA,triangle,rectangle,"triangle,rectangle,triangle",ABA,star,triangle,"star,triangle,star",1,,1,1,0.2491997449997143,1.1621373359051816,0.9724570139455762,1.5,1.0043978761905674,0.6990075982666624,2.0,1810.3478010003455,1810.8516410002485,1812.5228508999571,1814.0030505000614,1816.0173547002487,1817.5298481001519,1818.7397640999407,1819.2441718000919
run4,001,119,ABA,triangle,star,"triangle,star,triangle",ABA,rectangle,circle,"rectangle,circle,rectangle",1,,1,1,0.28070889999980864,1.0762056894396086,1.0907113796272285,1.5,0.896249912715461,0.8957143073374219,2.0,1824.5163137000054,1825.0201305001974,1826.609949100297,1828.2121801003814,1830.2238055001944,1831.6295617003925,1833.037758000195,1833.5423952001147
