sid,n_trials,accuracy,median_rt_correct,median_rt_all
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,120,0.95,0.5779967999997098,0.5779967999997098
cc2bdacf-6fe4-4e56-9630-a6ab21438244,120,0.975,0.6113666000001103,0.61153615000012
e3f4c2c2-e078-42a1-970c-cc7833d2a7b2,120,0.9916666666666667,0.4954809583141468,0.49530937499366695
