sid,main_trial_idx,rule_type,acc_roll,rt_roll
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,1,ABA,1.0,0.5940054000002419
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,2,ABB,1.0,0.5066410500003258
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,3,ABB,1.0,0.5786255000002711
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,4,ABA,1.0,0.5863154500002565
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,5,ABB,1.0,0.5786255000002711
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,6,ABA,1.0,0.5863154500002565
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,7,ABA,1.0,0.5940054000002419
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,8,ABA,1.0,0.5947703499996351
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,9,ABB,1.0,0.5940054000002419
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,10,ABB,1.0,0.5947703499996351
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,11,ABB,1.0,0.6039069499993275
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,12,ABA,1.0,0.6039069499993275
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,13,ABB,1.0,0.6039069499993275
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,14,ABA,1.0,0.6039069499993275
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,15,ABB,1.0,0.6258744999995542
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,16,ABA,1.0,0.6039069499993275
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,17,ABB,1.0,0.6002779499995086
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,18,ABB,1.0,0.5827740000004269
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,19,ABA,1.0,0.5678923499999655
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,20,ABA,1.0,0.5523020499995255
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,21,ABB,0.9,0.5437754000004134
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,22,ABB,0.9,0.536652600000707
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,23,ABB,0.9,0.536652600000707
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,24,ABA,0.9,0.536652600000707
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,25,ABB,0.9,0.536652600000707
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,26,ABB,0.9,0.5362945000006221
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,27,ABA,0.9,0.5308531000000585
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,28,ABB,0.9,0.5362945000006221
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,29,ABB,0.9,0.5411026000001584
