sid,circle,rectangle,star,triangle
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,0.9375,0.9696969696969697,0.96,0.9333333333333333
cc2bdacf-6fe4-4e56-9630-a6ab21438244,1.0,0.9714285714285714,0.9166666666666666,1.0
e3f4c2c2-e078-42a1-970c-cc7833d2a7b2,1.0,0.9722222222222222,1.0,1.0
