2.9947 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0, draggable=False, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=np.float64(0.07), italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1.8)
58.5693 	DATA 	Keypress: equal
58.5746 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0, draggable=False, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=np.float64(0.07), italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Waiting for scanner...', units='norm', win=Window(...), wrapWidth=1)
60.5683 	DATA 	Keypress: equal
60.5686 	DATA 	WM trial 0: sample=triangle, isi=1.0
62.5694 	DATA 	Keypress: equal
63.1922 	DATA 	Keypress: 4
63.1924 	DATA 	WM trial 0 response: key=4, rt=0.5499, correct=1
63.1926 	DATA 	WM trial 1: sample=circle, isi=2.5
64.5697 	DATA 	Keypress: equal
66.5744 	DATA 	Keypress: equal
67.3088 	DATA 	Keypress: 2
67.3090 	DATA 	WM trial 1 response: key=2, rt=0.5491, correct=1
67.3321 	DATA 	WM trial 2: sample=circle, isi=2.5
68.5717 	DATA 	Keypress: equal
70.5696 	DATA 	Keypress: equal
71.5607 	DATA 	Keypress: 3
71.5609 	DATA 	WM trial 2 response: key=3, rt=0.6678, correct=1
71.5610 	DATA 	WM trial 3: sample=rectangle, isi=1.0
72.5709 	DATA 	Keypress: equal
74.1535 	DATA 	Keypress: 4
74.1537 	DATA 	WM trial 3 response: key=4, rt=0.5275, correct=1
74.1539 	DATA 	WM trial 4: sample=triangle, isi=1.0
74.5735 	DATA 	Keypress: equal
76.5684 	DATA 	Keypress: equal
76.6966 	DATA 	Keypress: 2
76.6968 	DATA 	WM trial 4 response: key=2, rt=0.4543, correct=1
76.6970 	DATA 	WM trial 5: sample=triangle, isi=2.5
78.5706 	DATA 	Keypress: equal
80.5684 	DATA 	Keypress: equal
80.9068 	DATA 	Keypress: 1
80.9070 	DATA 	WM trial 5 response: key=1, rt=0.6475, correct=1
80.9072 	DATA 	WM trial 6: sample=rectangle, isi=2.5
82.5692 	DATA 	Keypress: equal
84.5684 	DATA 	Keypress: equal
85.0154 	DATA 	Keypress: 2
85.0156 	DATA 	WM trial 6 response: key=2, rt=0.5398, correct=1
85.0158 	DATA 	WM trial 7: sample=rectangle, isi=1.0
86.5697 	DATA 	Keypress: equal
87.6308 	DATA 	Keypress: 4
87.6309 	DATA 	WM trial 7 response: key=4, rt=0.5379, correct=1
87.6311 	DATA 	WM trial 8: sample=triangle, isi=2.5
88.5692 	DATA 	Keypress: equal
90.5700 	DATA 	Keypress: equal
91.7267 	DATA 	Keypress: 2
91.7269 	DATA 	WM trial 8 response: key=2, rt=0.5359, correct=1
91.7271 	DATA 	WM trial 9: sample=circle, isi=1.0
92.5726 	DATA 	Keypress: equal
94.3844 	DATA 	Keypress: 4
94.3847 	DATA 	WM trial 9 response: key=4, rt=0.5914, correct=1
94.3849 	DATA 	WM trial 10: sample=rectangle, isi=2.5
94.5739 	DATA 	Keypress: equal
96.5735 	DATA 	Keypress: equal
98.5683 	DATA 	Keypress: equal
98.6306 	DATA 	Keypress: 2
98.6310 	DATA 	WM trial 10 response: key=2, rt=0.6876, correct=1
98.6311 	DATA 	WM trial 11: sample=star, isi=1.0
100.5696 	DATA 	Keypress: equal
101.2088 	DATA 	Keypress: 2
101.2090 	DATA 	WM trial 11 response: key=2, rt=0.4985, correct=1
101.2092 	DATA 	WM trial 12: sample=circle, isi=1.0
102.5730 	DATA 	Keypress: equal
103.9803 	DATA 	Keypress: 2
103.9809 	DATA 	WM trial 12 response: key=2, rt=0.6871, correct=1
103.9812 	DATA 	WM trial 13: sample=circle, isi=1.0
104.5735 	DATA 	Keypress: equal
106.5678 	DATA 	Keypress: equal
106.7057 	DATA 	Keypress: 1
106.7060 	DATA 	WM trial 13 response: key=1, rt=0.6467, correct=1
106.7062 	DATA 	WM trial 14: sample=star, isi=2.5
108.5740 	DATA 	Keypress: equal
110.5678 	DATA 	Keypress: equal
110.9373 	DATA 	Keypress: 1
110.9375 	DATA 	WM trial 14 response: key=1, rt=0.6613, correct=1
110.9379 	DATA 	WM trial 15: sample=circle, isi=2.5
112.5694 	DATA 	Keypress: equal
114.5685 	DATA 	Keypress: equal
115.0561 	DATA 	Keypress: 2
115.0565 	DATA 	WM trial 15 response: key=2, rt=0.5470, correct=1
115.0566 	DATA 	WM trial 16: sample=star, isi=1.0
116.5695 	DATA 	Keypress: equal
117.7602 	DATA 	Keypress: 1
117.7604 	DATA 	WM trial 16 response: key=1, rt=0.6351, correct=1
117.7606 	DATA 	WM trial 17: sample=triangle, isi=1.0
118.5714 	DATA 	Keypress: equal
120.5129 	DATA 	Keypress: 3
120.5131 	DATA 	WM trial 17 response: key=3, rt=0.6862, correct=1
120.5134 	DATA 	WM trial 18: sample=star, isi=2.5
120.5733 	DATA 	Keypress: equal
122.5709 	DATA 	Keypress: equal
124.5690 	DATA 	Keypress: equal
124.5700 	DATA 	Keypress: 2
124.5704 	DATA 	WM trial 18 response: key=2, rt=0.4948, correct=1
124.5706 	DATA 	WM trial 19: sample=triangle, isi=2.5
126.5733 	DATA 	Keypress: equal
128.5694 	DATA 	Keypress: equal
128.7227 	DATA 	Keypress: 3
128.7229 	DATA 	WM trial 19 response: key=3, rt=0.5810, correct=1
128.7231 	DATA 	WM trial 20: sample=star, isi=1.0
130.5735 	DATA 	Keypress: equal
131.2895 	DATA 	Keypress: 2
131.2897 	DATA 	WM trial 20 response: key=2, rt=0.4993, correct=1
131.2899 	DATA 	WM trial 21: sample=star, isi=2.5
132.5705 	DATA 	Keypress: equal
134.5750 	DATA 	Keypress: equal
135.3577 	DATA 	Keypress: 2
135.3579 	DATA 	WM trial 21 response: key=2, rt=0.4981, correct=1
135.3581 	DATA 	WM trial 22: sample=rectangle, isi=2.5
136.5725 	DATA 	Keypress: equal
138.5738 	DATA 	Keypress: equal
139.5465 	DATA 	Keypress: 4
139.5467 	DATA 	WM trial 22 response: key=4, rt=0.6212, correct=1
139.5470 	DATA 	WM trial 23: sample=rectangle, isi=1.0
140.5706 	DATA 	Keypress: equal
142.1873 	DATA 	Keypress: 1
142.1875 	DATA 	WM trial 23 response: key=1, rt=0.5778, correct=1
